@relation nba_no_ws
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
3114,338,2146,5.5,0.6,3.8,11.4,0,2,0,False
10898,1526,5192,10.3,1.4,4.9,16.1,0,5,0,False
1132,134,1007,5.4,0.6,4.8,9.3,0,0,0,False
4733,4893,3222,5.9,6.1,4.0,14.5,0,0,0,False
1140,186,198,7.3,1.2,1.3,12.0,0,0,0,False
3496,1723,689,8.0,3.9,1.6,14.0,0,0,0,False
4536,440,2564,11.0,1.1,6.2,16.5,0,1,0,False
761,284,153,4.5,1.7,0.9,9.7,0,0,0,False
4030,491,2366,8.3,1.0,4.9,12.8,0,0,0,False
3130,424,2762,5.0,0.7,4.4,9.7,0,0,0,False
637,40,477,3.9,0.2,2.9,11.6,0,0,0,False
4749,528,3547,11.5,1.3,8.6,17.3,0,0,0,False
677,58,417,5.0,0.4,3.1,11.2,0,1,0,False
752,316,227,6.7,2.8,2.0,10.7,0,0,0,False
1717,345,2607,2.5,0.5,3.8,6.5,0,2,0,False
12331,1400,9473,9.6,1.1,7.4,14.4,1,3,0,False
12391,1627,2519,16.2,2.1,3.3,14.6,0,0,0,False
5733,788,7626,7.7,1.1,10.3,11.9,1,0,0.001,False
731,143,466,4.3,0.8,2.7,9.5,0,0,0,False
3287,881,2100,7.4,2.0,4.7,11.1,0,0,0,False
8901,2837,1609,10.5,3.3,1.9,16.4,1,0,0,False
14155,2812,3857,14.8,2.9,4.0,16.7,3,0,0,False
3257,331,1745,9.0,0.9,4.8,15.1,0,0,0,False
8817,5846,1751,8.4,5.5,1.7,14.5,0,1,0,False
1237,251,1019,4.7,0.9,3.8,13.3,0,0,0,False
