@relation nba_all
@attribute stats.totals.pts.value integer
@attribute stats.totals.ast.value integer
@attribute stats.totals.trb.value integer
@attribute stats.per_game.pts_per_g.value real
@attribute stats.per_game.ast_per_g.value real
@attribute stats.per_game.trb_per_g.value real
@attribute stats.advanced.per.value real
@attribute stats.advanced.ts_pct.value real
@attribute stats.advanced.ws.value real
@attribute stats.advanced.dws.value real
@attribute stats.advanced.ows.value real
@attribute stats.advanced.efg_pct.value real
@attribute stats.totals.g.value integer
@attribute honors.allstar_appearances integer
@attribute honors.championships integer
@attribute honors.mvpshares integer
@attribute hall_of_fame {True, False}
@data
12700,1088,6401,13.7,1.2,6.9,16.4,0.547,58.1,27.1,31.0,0.489,929,0,0,0,False
2468,236,2681,5.6,0.5,6.1,12.8,0.497,12.2,8.0,4.2,0.481,437,0,2,0,False
3301,440,2148,4.6,0.6,3.0,10.9,0.499,17.7,12.4,5.4,0.46,720,0,2,0,False
735,47,550,6.0,0.4,4.5,12.6,0.447,3.5,3.6,-0.2,0.388,122,0,0,0,False
5162,880,1927,8.0,1.4,3.0,11.9,0.52,17.9,11.5,6.4,0.484,648,0,0,0,False
3061,273,2887,6.4,0.6,6.0,10.9,0.507,12.1,7.4,4.8,0.473,480,0,0,0,False
10789,5196,2641,12.6,6.1,3.1,16.4,0.501,62.5,26.1,36.4,0.449,858,1,0,0,False
1474,310,1182,7.1,1.5,5.7,11.5,0.424,5.3,4.6,0.7,0.345,209,0,0,0,False
472,93,377,3.4,0.7,2.7,9.9,0.442,1.0,1.3,-0.3,0.428,139,0,0,0,False
1200,390,277,6.3,2.0,1.4,9.9,0.504,2.4,2.6,-0.2,0.455,192,0,0,0,False
1707,158,1316,12.2,1.1,9.4,17.5,0.524,10.9,4.4,6.5,0.481,140,0,0,0,False
8772,4339,2003,11.1,5.5,2.5,13.9,0.533,45.0,19.5,25.6,0.491,788,0,0,0,False
19248,3007,9698,20.1,3.1,10.1,21.7,0.559,117.1,41.7,75.4,0.514,959,8,0,0.504,True
3723,611,2301,7.6,1.2,4.7,12.8,0.534,15.8,10.7,5.1,0.501,493,0,1,0,False
1938,252,764,7.0,0.9,2.7,14.0,0.534,10.2,5.3,4.9,0.509,278,0,0,0,False
8357,1393,4160,10.6,1.8,5.3,16.2,0.558,57.6,24.1,33.6,0.499,788,1,0,0.003,False
2031,183,1142,6.4,0.6,3.6,16.4,0.543,12.9,4.8,8.1,0.506,318,0,0,0,False
4603,931,4961,5.2,1.1,5.6,13.1,0.573,38.3,24.3,14.0,0.534,880,0,4,0,False
1919,653,1512,4.0,1.4,3.2,11.8,0.488,16.3,10.4,5.9,0.452,477,0,0,0,False
2622,556,523,9.3,2.0,1.8,11.2,0.455,1.7,4.9,-3.2,0.412,283,0,0,0,False
8168,1105,6637,10.6,1.4,8.6,12.6,0.494,39.3,23.8,15.5,0.449,774,0,0,0,False
